Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDR15,9.3,Regular,Meat,156.6314,OUT049,1999,Tier 1,Supermarket Type1,-0.556466757984495
DRF51,15.75,Low Fat,Dairy,37.4506,OUT045,2002,Tier 2,Supermarket Type1,-0.6721545785007871
FDS40,15.35,Low Fat,Frozen Foods,38.319,OUT013,1987,Tier 3,Supermarket Type1,-1.1711662222203156
FDN03,9.8,Regular,Meat,249.6408,OUT046,1997,Tier 1,Supermarket Type1,-0.711868307931753
FDM50,12.8,Regular,Canned,60.222,OUT027,1985,Tier 3,Supermarket Type3,-0.2732906003028248
FDZ01,8.975,Regular,Canned,101.899,OUT010,1998,Tier 3,Grocery Store,-1.294192449261895
FDC17,12.15,Low Fat,Frozen Foods,211.8928,OUT046,1997,Tier 1,Supermarket Type1,2.458323310992311
FDO50,16.25,Low Fat,Canned,91.3804,OUT035,2004,Tier 2,Supermarket Type1,-0.5196192383128381
NCQ18,15.75,Low Fat,Household,99.17,OUT046,1997,Tier 1,Supermarket Type1,-0.5218770277780028
FDF20,12.85,Low Fat,Fruits and Vegetables,195.0768,OUT017,2007,Tier 2,Supermarket Type1,0.5027979018180057
NCL18,18.85,Low Fat,Household,193.7136,OUT045,2002,Tier 2,Supermarket Type1,0.2994271121778232
FDC46,17.7,Low Fat,Snack Foods,184.0266,OUT017,2007,Tier 2,Supermarket Type1,0.1933457205110249
FDC53,8.68,Low Fat,Frozen Foods,100.0384,OUT035,2004,Tier 2,Supermarket Type1,0.1083065390121089
NCF30,17.0,Low Fat,Household,124.6362,OUT046,1997,Tier 1,Supermarket Type1,1.1680587754579934
FDZ13,7.84,Regular,Canned,51.335,OUT045,2002,Tier 2,Supermarket Type1,-0.5840937001973409
NCZ18,12.8,Low Fat,Household,253.8698,OUT027,1985,Tier 3,Supermarket Type3,2.175816983350652
DRM59,5.88,Low Fat,Hard Drinks,153.8998,OUT049,1999,Tier 1,Supermarket Type1,0.5335024465066897
FDA33,6.48,Low Fat,Snack Foods,147.9076,OUT013,1987,Tier 3,Supermarket Type1,-0.0194800856842145
FDS28,8.18,Regular,Frozen Foods,58.1588,OUT013,1987,Tier 3,Supermarket Type1,-1.1383592283425612
FDU39,18.85,Low Fat,Meat,59.2562,OUT049,1999,Tier 1,Supermarket Type1,-0.7488402503240468
FDV35,12.8,Low Fat,Breads,156.5314,OUT027,1985,Tier 3,Supermarket Type3,1.2124322784403463
DRM47,9.3,Low Fat,Hard Drinks,191.6846,OUT046,1997,Tier 1,Supermarket Type1,0.6211316538380602
FDX44,12.8,Low Fat,Fruits and Vegetables,88.4172,OUT027,1985,Tier 3,Supermarket Type3,-0.0306915139962719
FDF09,6.215,Low Fat,Fruits and Vegetables,36.5848,OUT046,1997,Tier 1,Supermarket Type1,-0.84093287991829
FDE39,7.89,Low Fat,Dairy,117.4782,OUT035,2004,Tier 2,Supermarket Type1,-0.047526681907225
FDH24,20.7,Low Fat,Baking Goods,157.0288,OUT046,1997,Tier 1,Supermarket Type1,0.0651394418045369
FDP07,18.2,Low Fat,Fruits and Vegetables,198.211,OUT049,1999,Tier 1,Supermarket Type1,0.1151551250019086
FDH48,13.5,Low Fat,Baking Goods,85.154,OUT017,2007,Tier 2,Supermarket Type1,-0.9682808653447288
NCE18,10.0,Low Fat,Household,249.175,OUT017,2007,Tier 2,Supermarket Type1,1.4597624289055242
DRB25,12.3,Low Fat,Soft Drinks,106.2938,OUT018,2009,Tier 3,Supermarket Type2,-0.2491170258665847
NCE19,8.97,Low Fat,Household,52.7956,OUT046,1997,Tier 1,Supermarket Type1,-0.6885580754396644
FDA37,7.81,Regular,Canned,125.2046,OUT013,1987,Tier 3,Supermarket Type1,-0.4963312516827509
FDE34,9.195,Low Fat,Snack Foods,181.7634,OUT049,1999,Tier 1,Supermarket Type1,2.645668512873172
FDM25,10.695,Regular,Breakfast,174.0712,OUT013,1987,Tier 3,Supermarket Type1,0.2343544628582181
DRF37,12.8,Low Fat,Soft Drinks,261.391,OUT027,1985,Tier 3,Supermarket Type3,1.711884218853822
FDO48,15.0,Regular,Baking Goods,220.9456,OUT035,2004,Tier 2,Supermarket Type1,1.2222460764555054
FDF09,6.215,Low Fat,Fruits and Vegetables,37.9848,OUT035,2004,Tier 2,Supermarket Type1,-0.8534563867725882
FDR36,6.715,Regular,Baking Goods,43.0454,OUT049,1999,Tier 1,Supermarket Type1,-0.9300956377293303
FDU32,12.8,Low Fat,Fruits and Vegetables,120.7414,OUT027,1985,Tier 3,Supermarket Type3,1.4827469141011909
NCO14,9.6,Low Fat,Household,44.2086,OUT010,1998,Tier 3,Grocery Store,-1.332179494804558
DRC01,5.92,Regular,Soft Drinks,49.0692,OUT017,2007,Tier 2,Supermarket Type1,-0.4027918919255399
FDZ01,8.975,Regular,Canned,102.099,OUT045,2002,Tier 2,Supermarket Type1,-0.3755732941730664
FDR04,7.075,Low Fat,Frozen Foods,95.7068,OUT013,1987,Tier 3,Supermarket Type1,-0.9829576783953032
FDN39,19.35,Regular,Meat,166.0816,OUT010,1998,Tier 3,Grocery Store,-0.9259771100813086
FDO12,15.75,Low Fat,Baking Goods,196.5452,OUT017,2007,Tier 2,Supermarket Type1,0.6694788027105407
FDB47,8.8,Low Fat,Snack Foods,210.5612,OUT035,2004,Tier 2,Supermarket Type1,0.8015395119984565
FDX34,6.195,Low Fat,Snack Foods,120.1098,OUT045,2002,Tier 2,Supermarket Type1,0.5140772527632825
FDL56,12.8,Low Fat,Fruits and Vegetables,85.6198,OUT019,1985,Tier 1,Grocery Store,-1.304552552591712
FDT15,12.15,Regular,Meat,183.295,OUT013,1987,Tier 3,Supermarket Type1,0.4783363014406142
NCH54,13.5,Low Fat,Household,161.692,OUT010,1998,Tier 3,Grocery Store,-1.257500416635459
FDS59,14.8,Regular,Breads,110.857,OUT010,1998,Tier 3,Grocery Store,-1.1474243187561513
FDS31,13.1,Regular,Fruits and Vegetables,178.9318,OUT049,1999,Tier 1,Supermarket Type1,0.627606718419196
NCQ43,12.8,Low Fat,Others,110.2912,OUT019,1985,Tier 1,Grocery Store,-1.219513371092796
DRD25,6.135,Low Fat,Soft Drinks,114.286,OUT046,1997,Tier 1,Supermarket Type1,0.1799639203766777
FDW13,12.8,Low Fat,Canned,50.5324,OUT019,1985,Tier 1,Grocery Store,-1.2264201066460074
FDK27,12.8,Low Fat,Meat,122.2756,OUT019,1985,Tier 1,Grocery Store,-1.2825373330158507
FDS10,19.2,Low Fat,Snack Foods,180.3318,OUT017,2007,Tier 2,Supermarket Type1,0.8615723852842346
NCE18,10.0,Low Fat,Household,247.775,OUT018,2009,Tier 3,Supermarket Type2,1.0670477679922756
FDV39,11.3,Low Fat,Meat,196.7426,OUT035,2004,Tier 2,Supermarket Type1,0.4337864519571993
FDK45,11.65,Low Fat,Seafood,111.686,OUT013,1987,Tier 3,Supermarket Type1,-0.3337245363934252
FDH27,7.075,Low Fat,Dairy,145.8128,OUT013,1987,Tier 3,Supermarket Type1,-0.2422102903133732
FDQ52,12.8,Low Fat,Frozen Foods,248.8434,OUT027,1985,Tier 3,Supermarket Type3,2.986256909840913
NCF42,17.35,Low Fat,Household,175.6712,OUT046,1997,Tier 1,Supermarket Type1,0.4622767361141964
FDQ12,12.65,Low Fat,Baking Goods,229.101,OUT010,1998,Tier 3,Grocery Store,-1.0509051943672163
FDN28,5.88,Regular,Frozen Foods,102.699,OUT013,1987,Tier 3,Supermarket Type1,-0.6505081198366642
FDC59,16.7,Regular,Starchy Foods,65.5168,OUT035,2004,Tier 2,Supermarket Type1,-0.6980548368253302
FDI09,20.75,Regular,Seafood,240.088,OUT013,1987,Tier 3,Supermarket Type1,1.5499562400512212
FDR60,14.3,Low Fat,Baking Goods,77.2328,OUT035,2004,Tier 2,Supermarket Type1,-1.2108799516512816
DRC36,13.0,Regular,Soft Drinks,173.7054,OUT045,2002,Tier 2,Supermarket Type1,0.2254106702432646
FDB12,11.15,Regular,Baking Goods,102.0648,OUT046,1997,Tier 1,Supermarket Type1,-0.687694733495513
DRO35,13.85,Low Fat,Hard Drinks,116.1492,OUT045,2002,Tier 2,Supermarket Type1,-0.5348832093807092
FDC29,8.39,Regular,Frozen Foods,116.0176,OUT049,1999,Tier 1,Supermarket Type1,-0.3216377491753051
FDH58,12.3,Low Fat,Snack Foods,115.9834,OUT049,1999,Tier 1,Supermarket Type1,-0.0168780428898491
FDJ44,12.3,Regular,Fruits and Vegetables,176.3396,OUT049,1999,Tier 1,Supermarket Type1,-0.4563190924629287
FDX49,12.8,Regular,Canned,232.63,OUT027,1985,Tier 3,Supermarket Type3,2.1138498752758887
FDN48,12.8,Low Fat,Baking Goods,90.0804,OUT027,1985,Tier 3,Supermarket Type3,0.009022215434694
DRP35,18.85,Low Fat,Hard Drinks,126.6336,OUT035,2004,Tier 2,Supermarket Type1,-0.6151740101867925
FDE45,12.1,Low Fat,Fruits and Vegetables,177.3002,OUT035,2004,Tier 2,Supermarket Type1,0.6129299053686216
FDO57,12.8,Low Fat,Snack Foods,159.4578,OUT019,1985,Tier 1,Grocery Store,-1.2570687456633831
NCU54,8.88,Low Fat,Household,209.627,OUT045,2002,Tier 2,Supermarket Type1,-0.1373142440989741
NCA29,10.5,Low Fat,Household,171.1106,OUT017,2007,Tier 2,Supermarket Type1,0.9686267863590122
FDD32,17.7,Regular,Fruits and Vegetables,80.0276,OUT035,2004,Tier 2,Supermarket Type1,-0.3667559575101397
NCP53,14.75,Low Fat,Health and Hygiene,237.2906,OUT017,2007,Tier 2,Supermarket Type1,0.6422835314697705
FDO25,6.3,Low Fat,Canned,210.527,OUT046,1997,Tier 1,Supermarket Type1,2.7181892361818925
FDX33,9.195,Regular,Snack Foods,159.5578,OUT049,1999,Tier 1,Supermarket Type1,-0.5288398157716492
NCO30,19.5,Low Fat,Household,185.7608,OUT018,2009,Tier 3,Supermarket Type2,0.4327832058826949
DRM48,15.2,Low Fat,Soft Drinks,35.8848,OUT049,1999,Tier 1,Supermarket Type1,-0.9743242589537888
FDP12,9.8,Regular,Baking Goods,35.0874,OUT017,2007,Tier 2,Supermarket Type1,-1.1323158347335012
FDY15,18.25,Regular,Dairy,156.463,OUT045,2002,Tier 2,Supermarket Type1,-0.7524453793068705
FDE17,20.1,Regular,Frozen Foods,152.1366,OUT049,1999,Tier 1,Supermarket Type1,-0.8711548966276925
FDI14,14.1,Low Fat,Canned,140.2496,OUT017,2007,Tier 2,Supermarket Type1,0.377669225587356
DRF27,8.93,Low Fat,Dairy,152.334,OUT045,2002,Tier 2,Supermarket Type1,-0.0873658570752256
DRL01,12.8,Regular,Soft Drinks,232.9958,OUT019,1985,Tier 1,Grocery Store,-0.7550354051393249
NCK06,5.03,Low Fat,Household,121.1756,OUT018,2009,Tier 3,Supermarket Type2,0.1631660214484393
FDM34,12.8,Low Fat,Snack Foods,132.6626,OUT019,1985,Tier 1,Grocery Store,-1.208719093620825
FDA25,16.5,Regular,Canned,102.299,OUT013,1987,Tier 3,Supermarket Type1,-0.263356680617782
NCN18,8.895,Low Fat,Household,112.7544,OUT045,2002,Tier 2,Supermarket Type1,0.8870409726367017
FDC51,10.895,Regular,Dairy,122.973,OUT018,2009,Tier 3,Supermarket Type2,-0.4794491456462106
NCK31,10.895,Low Fat,Others,52.2666,OUT013,1987,Tier 3,Supermarket Type1,-1.060160812778821
FDI41,12.8,Regular,Frozen Foods,145.1418,OUT027,1985,Tier 3,Supermarket Type3,1.596276379757105
FDI28,14.3,Low Fat,Frozen Foods,77.9302,OUT010,1998,Tier 3,Grocery Store,-1.2529869777499598
FDA34,11.5,Low Fat,Starchy Foods,174.508,OUT049,1999,Tier 1,Supermarket Type1,0.9958220575997824
FDU26,16.7,Regular,Dairy,121.1782,OUT013,1987,Tier 3,Supermarket Type1,-0.2252854166744061
FDI04,12.8,Regular,Frozen Foods,198.5426,OUT019,1985,Tier 1,Grocery Store,-0.8482763351076795
FDB14,20.25,Regular,Canned,92.512,OUT010,1998,Tier 3,Grocery Store,-1.2402335777524305
FDJ15,11.35,Regular,Dairy,184.4608,OUT049,1999,Tier 1,Supermarket Type1,1.260004692510121
NCB43,20.2,Low Fat,Household,187.1898,OUT013,1987,Tier 3,Supermarket Type1,0.5796912405187914
FDK03,12.6,Regular,Dairy,255.9356,OUT018,2009,Tier 3,Supermarket Type2,1.7719664653919212
FDY02,8.945,Regular,Dairy,261.191,OUT013,1987,Tier 3,Supermarket Type1,1.086746272067813
FDP32,6.65,Low Fat,Fruits and Vegetables,126.7678,OUT049,1999,Tier 1,Supermarket Type1,-0.1243641149367025
FDB59,18.25,Low Fat,Snack Foods,198.9084,OUT013,1987,Tier 3,Supermarket Type1,0.2281657307811095
FDG45,12.8,Low Fat,Fruits and Vegetables,214.2902,OUT027,1985,Tier 3,Supermarket Type3,2.227135632915429
FDW10,12.8,Low Fat,Snack Foods,175.337,OUT019,1985,Tier 1,Grocery Store,-1.1980634443633484
DRH25,18.7,Low Fat,Soft Drinks,52.0324,OUT045,2002,Tier 2,Supermarket Type1,-0.654024397673607
FDU37,9.5,Regular,Canned,80.196,OUT013,1987,Tier 3,Supermarket Type1,0.0375124995916912
DRC27,13.8,Low Fat,Dairy,243.6802,OUT017,2007,Tier 2,Supermarket Type1,-0.0868087403661151
FDR27,15.1,Regular,Meat,133.4942,OUT045,2002,Tier 2,Supermarket Type1,-0.416173692059887
FDO28,5.765,Low Fat,Frozen Foods,122.1098,OUT018,2009,Tier 3,Supermarket Type2,-0.6021018968162245
FDM40,10.195,Low Fat,Frozen Foods,141.0154,OUT045,2002,Tier 2,Supermarket Type1,-0.3220386322288726
FDZ12,9.17,Low Fat,Baking Goods,144.847,OUT010,1998,Tier 3,Grocery Store,-0.9898644139485148
FDN56,5.46,Regular,Fruits and Vegetables,144.8786,OUT049,1999,Tier 1,Supermarket Type1,0.7933683716962712
FDR07,21.35,Low Fat,Fruits and Vegetables,96.0094,OUT018,2009,Tier 3,Supermarket Type2,-1.114185653906321
FDO25,12.8,Low Fat,Canned,209.027,OUT027,1985,Tier 3,Supermarket Type3,1.630378386551086
FDE16,8.895,Low Fat,Frozen Foods,208.9954,OUT049,1999,Tier 1,Supermarket Type1,1.6113848637797543
NCD55,14.0,Low Fat,Household,43.4454,OUT010,1998,Tier 3,Grocery Store,-1.333906178692861
FDR24,12.8,Regular,Baking Goods,88.383,OUT027,1985,Tier 3,Supermarket Type3,-0.0207630816385304
FDH32,12.8,Low Fat,Fruits and Vegetables,97.141,OUT013,1987,Tier 3,Supermarket Type1,0.4540749876447578
FDX25,12.8,Low Fat,Canned,181.9292,OUT027,1985,Tier 3,Supermarket Type3,0.6496219379950577
FDA43,10.895,Low Fat,Fruits and Vegetables,194.1794,OUT018,2009,Tier 3,Supermarket Type2,0.156653687884589
NCO29,11.15,Low Fat,Health and Hygiene,165.6526,OUT045,2002,Tier 2,Supermarket Type1,-0.5081196091120148
FDF16,7.3,Low Fat,Frozen Foods,148.4076,OUT035,2004,Tier 2,Supermarket Type1,0.0928701205111707
FDB16,12.8,Low Fat,Dairy,86.2198,OUT027,1985,Tier 3,Supermarket Type3,0.0137936276129578
NCC31,12.8,Low Fat,Household,154.5972,OUT027,1985,Tier 3,Supermarket Type3,0.9558381232484112
FDF24,12.8,Regular,Baking Goods,81.9934,OUT027,1985,Tier 3,Supermarket Type3,0.8689107918095218
NCY06,15.25,Low Fat,Household,132.2968,OUT017,2007,Tier 2,Supermarket Type1,-0.2612038130847048
FDS48,15.15,Low Fat,Baking Goods,152.3708,OUT035,2004,Tier 2,Supermarket Type1,0.6876089835377208
FDR46,16.85,Low Fat,Snack Foods,144.976,OUT013,1987,Tier 3,Supermarket Type1,0.4432832133428648
FDL58,5.78,Regular,Snack Foods,264.9568,OUT013,1987,Tier 3,Supermarket Type1,3.0833828785579485
FDS12,12.8,Low Fat,Baking Goods,127.6362,OUT027,1985,Tier 3,Supermarket Type3,0.9554014276131768
FDU08,10.3,Low Fat,Fruits and Vegetables,98.7042,OUT046,1997,Tier 1,Supermarket Type1,-0.4212301583950033
FDY60,12.8,Regular,Baking Goods,143.8128,OUT027,1985,Tier 3,Supermarket Type3,1.529367379085368
FDW14,8.3,Regular,Dairy,87.3198,OUT017,2007,Tier 2,Supermarket Type1,-0.5815815855911373
FDE32,20.7,Low Fat,Fruits and Vegetables,39.9506,OUT017,2007,Tier 2,Supermarket Type1,-0.7951808055423664
FDZ02,6.905,Regular,Dairy,97.2726,OUT010,1998,Tier 3,Grocery Store,-1.2341901841433702
DRB48,16.75,Regular,Soft Drinks,40.9822,OUT010,1998,Tier 3,Grocery Store,-1.259227100523762
FDA52,12.8,Regular,Frozen Foods,177.037,OUT027,1985,Tier 3,Supermarket Type3,1.6131115476680575
FDH17,12.8,Regular,Frozen Foods,97.0726,OUT019,1985,Tier 1,Grocery Store,-1.17073455124824
FDR44,6.11,Regular,Fruits and Vegetables,131.2968,OUT018,2009,Tier 3,Supermarket Type2,-0.7688488762457476
FDE56,17.25,Regular,Fruits and Vegetables,62.2194,OUT018,2009,Tier 3,Supermarket Type2,-0.9393793003821752
FDP10,19.0,Low Fat,Snack Foods,107.6622,OUT013,1987,Tier 3,Supermarket Type1,-0.5374732352131636
FDY22,16.5,Regular,Snack Foods,144.5128,OUT046,1997,Tier 1,Supermarket Type1,0.9699217992752396
NCD19,8.93,Low Fat,Household,53.7614,OUT018,2009,Tier 3,Supermarket Type2,-0.975769117370716
FDO04,16.6,Low Fat,Frozen Foods,56.7614,OUT045,2002,Tier 2,Supermarket Type1,-0.825532201991079
FDF12,8.235,Low Fat,Baking Goods,149.3076,OUT017,2007,Tier 2,Supermarket Type1,-0.1152990245231124
FDH56,9.8,Regular,Fruits and Vegetables,117.1492,OUT046,1997,Tier 1,Supermarket Type1,-0.1252562144057602
DRI23,18.85,Low Fat,Hard Drinks,158.4578,OUT017,2007,Tier 2,Supermarket Type1,-0.4248071115014014
FDZ48,17.75,Low Fat,Baking Goods,113.3544,OUT013,1987,Tier 3,Supermarket Type1,-0.2865846357341868
FDQ23,6.55,Low Fat,Breads,100.9332,OUT049,1999,Tier 1,Supermarket Type1,-0.4172208920329123
FDR04,12.8,Low Fat,Frozen Foods,98.6068,OUT027,1985,Tier 3,Supermarket Type3,0.2144975981427351
FDB39,11.6,Low Fat,Dairy,55.3272,OUT046,1997,Tier 1,Supermarket Type1,-0.8800454400954616
FDX55,15.1,Low Fat,Fruits and Vegetables,219.4166,OUT046,1997,Tier 1,Supermarket Type1,2.591277970391632
FDE40,15.6,Regular,Dairy,63.1194,OUT017,2007,Tier 2,Supermarket Type1,-0.5180480414697564
FDG40,13.65,Low Fat,Frozen Foods,34.3558,OUT018,2009,Tier 3,Supermarket Type2,-1.1843617257500876
NCX29,10.0,Low Fat,Health and Hygiene,147.1102,OUT013,1987,Tier 3,Supermarket Type1,0.5296174077580085
NCN29,12.8,Low Fat,Health and Hygiene,49.3034,OUT027,1985,Tier 3,Supermarket Type3,-0.7149284058746477
FDV58,12.8,Low Fat,Snack Foods,194.2452,OUT027,1985,Tier 3,Supermarket Type3,2.152354846039995
NCD19,8.93,Low Fat,Household,55.9614,OUT035,2004,Tier 2,Supermarket Type1,-0.7760664718071489
FDQ58,7.315,Low Fat,Snack Foods,155.034,OUT017,2007,Tier 2,Supermarket Type1,0.1970112874899618
FDJ41,6.85,Low Fat,Frozen Foods,262.3594,OUT035,2004,Tier 2,Supermarket Type1,1.1835989304527192
NCT30,9.1,Low Fat,Household,47.2718,OUT035,2004,Tier 2,Supermarket Type1,-0.8094259476208651
NCN26,10.85,Low Fat,Household,117.1808,OUT045,2002,Tier 2,Supermarket Type1,-0.905256903421674
NCH18,12.8,Low Fat,Household,245.2802,OUT027,1985,Tier 3,Supermarket Type3,5.169648686599888
FDN03,9.8,Regular,Meat,250.1408,OUT035,2004,Tier 2,Supermarket Type1,1.235831118073881
FDK28,5.695,Low Fat,Frozen Foods,258.5646,OUT013,1987,Tier 3,Supermarket Type1,1.6495202521667525
FDZ10,17.85,Low Fat,Snack Foods,124.902,OUT013,1987,Tier 3,Supermarket Type1,-0.1308391795178383
FDP59,20.85,Regular,Breads,104.0648,OUT018,2009,Tier 3,Supermarket Type2,-0.1489693603450184
NCR30,20.6,Low Fat,Household,74.8696,OUT013,1987,Tier 3,Supermarket Type1,-1.2160600033161904
FDT25,7.5,Low Fat,Canned,121.7072,OUT017,2007,Tier 2,Supermarket Type1,0.9422948570623936
FDS12,9.1,Low Fat,Baking Goods,124.6362,OUT035,2004,Tier 2,Supermarket Type1,0.1890290107902677
FDB03,17.75,Regular,Dairy,240.2538,OUT017,2007,Tier 2,Supermarket Type1,0.5951851485393547
FDO08,12.8,Regular,Fruits and Vegetables,165.6526,OUT027,1985,Tier 3,Supermarket Type3,1.2438170695706947
FDK26,5.46,Regular,Canned,186.924,OUT010,1998,Tier 3,Grocery Store,-1.0608999547655489
NCI54,12.8,Low Fat,Household,107.3912,OUT027,1985,Tier 3,Supermarket Type3,0.6211316538380602
FDR59,12.8,Regular,Breads,263.6594,OUT027,1985,Tier 3,Supermarket Type3,0.8443055464012059
FDA23,9.8,Low Fat,Baking Goods,101.3016,OUT018,2009,Tier 3,Supermarket Type2,-0.423285598491062
FDX22,6.785,Regular,Snack Foods,211.0928,OUT035,2004,Tier 2,Supermarket Type1,1.5034671207608254
FDA25,16.5,Regular,Canned,101.199,OUT046,1997,Tier 1,Supermarket Type1,-0.6920114432162701
DRH01,17.5,Low Fat,Soft Drinks,172.9738,OUT045,2002,Tier 2,Supermarket Type1,1.455551642860421
DRL47,19.7,Low Fat,Hard Drinks,127.3362,OUT035,2004,Tier 2,Supermarket Type1,-0.8715865675997683
FDW24,6.8,Low Fat,Baking Goods,49.7034,OUT017,2007,Tier 2,Supermarket Type1,-0.9694733338281256
FDP32,6.65,Low Fat,Fruits and Vegetables,126.7678,OUT045,2002,Tier 2,Supermarket Type1,-0.3954879368624897
FDE33,19.35,Regular,Fruits and Vegetables,77.0644,OUT013,1987,Tier 3,Supermarket Type1,0.1160766165094717
FDL24,10.3,Regular,Baking Goods,173.6422,OUT017,2007,Tier 2,Supermarket Type1,0.7014157360243141
FDZ40,8.935,Low Fat,Frozen Foods,52.9298,OUT017,2007,Tier 2,Supermarket Type1,-1.0114479625523003
FDW55,12.6,Regular,Fruits and Vegetables,250.8092,OUT018,2009,Tier 3,Supermarket Type2,0.9161997389573217
NCY53,20.0,Low Fat,Health and Hygiene,112.6544,OUT049,1999,Tier 1,Supermarket Type1,-0.1711397644067549
FDN40,5.88,Low Fat,Frozen Foods,155.3998,OUT035,2004,Tier 2,Supermarket Type1,0.0349224737592369
DRB01,7.39,Low Fat,Soft Drinks,190.253,OUT018,2009,Tier 3,Supermarket Type2,0.2210742122483003
FDV45,16.75,Low Fat,Snack Foods,189.1556,OUT017,2007,Tier 2,Supermarket Type1,0.5989902310087507
FDT01,13.65,Regular,Canned,212.7902,OUT018,2009,Tier 3,Supermarket Type2,0.8338159474185384
FDT59,13.65,Low Fat,Breads,230.2668,OUT018,2009,Tier 3,Supermarket Type2,0.5805545824629429
FDR22,19.35,Regular,Snack Foods,112.9544,OUT017,2007,Tier 2,Supermarket Type1,0.5244373560930996
DRH01,17.5,Low Fat,Soft Drinks,175.7738,OUT049,1999,Tier 1,Supermarket Type1,0.474549835621166
FDZ47,20.7,Regular,Baking Goods,98.7042,OUT017,2007,Tier 2,Supermarket Type1,-0.139040927987277
NCZ30,6.59,Low Fat,Household,119.1098,OUT017,2007,Tier 2,Supermarket Type1,-0.7360418823679933
FDY50,5.8,Low Fat,Dairy,88.6172,OUT013,1987,Tier 3,Supermarket Type1,-0.5741292114266325
FDN23,6.575,Regular,Breads,143.5444,OUT035,2004,Tier 2,Supermarket Type1,0.8032968040540126
FDZ52,19.2,Low Fat,Frozen Foods,112.7886,OUT013,1987,Tier 3,Supermarket Type1,-0.2076766125473159
FDY46,18.6,Low Fat,Snack Foods,188.7898,OUT035,2004,Tier 2,Supermarket Type1,0.5774774927107286
FDH32,12.8,Low Fat,Fruits and Vegetables,94.741,OUT010,1998,Tier 3,Grocery Store,-1.233306918681054
FDN04,11.8,Regular,Frozen Foods,180.3344,OUT046,1997,Tier 1,Supermarket Type1,-0.4355988858032943
NCD54,21.1,Low Fat,Household,143.3786,OUT046,1997,Tier 1,Supermarket Type1,-0.7990658442910479
DRK47,7.905,Low Fat,Hard Drinks,226.6694,OUT010,1998,Tier 3,Grocery Store,-1.050033116584195
FDF44,7.17,Regular,Fruits and Vegetables,130.9968,OUT017,2007,Tier 2,Supermarket Type1,0.010301770274846
FDS07,12.35,Low Fat,Fruits and Vegetables,113.4518,OUT049,1999,Tier 1,Supermarket Type1,-0.2739011341693932
FDA50,16.25,Low Fat,Dairy,95.441,OUT010,1998,Tier 3,Grocery Store,-1.2359168680316732
FDA15,9.3,Low Fat,Dairy,250.2092,OUT045,2002,Tier 2,Supermarket Type1,2.5135771954180024
FDY01,11.8,Regular,Canned,116.7834,OUT013,1987,Tier 3,Supermarket Type1,0.1324801134483489
NCA05,20.75,Low Fat,Health and Hygiene,149.4734,OUT013,1987,Tier 3,Supermarket Type1,0.5641510855240656
NCY54,8.43,Low Fat,Household,171.1422,OUT046,1997,Tier 1,Supermarket Type1,0.3159402765805284
NCZ17,12.8,Low Fat,Health and Hygiene,39.8506,OUT027,1985,Tier 3,Supermarket Type3,-0.4014968790093127
DRH36,16.2,Low Fat,Soft Drinks,73.3696,OUT049,1999,Tier 1,Supermarket Type1,-0.6539299027240605
FDJ04,18.0,Low Fat,Frozen Foods,117.2124,OUT049,1999,Tier 1,Supermarket Type1,0.0219723445969653
FDR24,17.35,Regular,Baking Goods,91.283,OUT018,2009,Tier 3,Supermarket Type2,-0.6242374593429035
NCO53,16.2,Low Fat,Health and Hygiene,182.1608,OUT035,2004,Tier 2,Supermarket Type1,0.1320098417532262
FDA45,21.25,Low Fat,Snack Foods,174.537,OUT017,2007,Tier 2,Supermarket Type1,0.5723999417158991
FDU11,4.785,Low Fat,Breads,122.3098,OUT049,1999,Tier 1,Supermarket Type1,-0.0934087225518454
FDJ46,11.1,Low Fat,Snack Foods,173.6054,OUT017,2007,Tier 2,Supermarket Type1,0.3088879897058247
FDJ22,12.8,Low Fat,Snack Foods,190.3504,OUT027,1985,Tier 3,Supermarket Type3,-0.1178890503555668
FDL12,15.85,Regular,Baking Goods,60.622,OUT046,1997,Tier 1,Supermarket Type1,0.3094652119993929
FDG35,21.2,Regular,Starchy Foods,175.5738,OUT013,1987,Tier 3,Supermarket Type1,0.4844711749203105
FDY32,7.605,Low Fat,Fruits and Vegetables,161.821,OUT018,2009,Tier 3,Supermarket Type2,0.1082935996269155
NCO18,13.15,Low Fat,Household,178.2686,OUT018,2009,Tier 3,Supermarket Type2,0.2150986741516036
NCI18,18.35,Low Fat,Household,222.5746,OUT013,1987,Tier 3,Supermarket Type1,0.3978568399112903
FDG53,10.0,Low Fat,Frozen Foods,141.818,OUT046,1997,Tier 1,Supermarket Type1,-0.056210841212832
FDK26,12.8,Regular,Canned,187.524,OUT027,1985,Tier 3,Supermarket Type3,1.7290743536734734
FDN50,16.85,Regular,Canned,93.712,OUT018,2009,Tier 3,Supermarket Type2,-0.8776299612088284
FDH35,18.25,Low Fat,Starchy Foods,162.5526,OUT017,2007,Tier 2,Supermarket Type1,-0.7213650693174188
NCX06,17.6,Low Fat,Household,182.6976,OUT046,1997,Tier 1,Supermarket Type1,0.8697741337536732
FDD36,13.3,Low Fat,Baking Goods,119.1124,OUT013,1987,Tier 3,Supermarket Type1,-0.1948980137050946
